cluster	gene
CD4+ Th	DUSP2
CD4+ Th	PTGER4
CD4+ Th	SH3BGRL3
CD4+ Th	PABPC1
CD8+ T	GZMK
CD8+ T	DUSP4
CD8+ T	CCL5
CD8+ T	GZMA
CD8+ T	CD8A
CD8+ T	CST7
CD8+ T	NKG7
CD8+ T	ITM2A
CD8+ T	CD8B
CD8+ T	LAG3
CD8+ T	CMC1
CD8+ T	LYST
CD8+ T	METRNL
CD8+ T	CTSW
CD8+ T	ZNF331
CD8+ T	CRTAM
CD8+ T	RNF19A
CD8+ T	APOBEC3G
CD8+ T	RUNX3
CD8+ T	SLA
CD8+ T	CORO1A
CD8+ T	JUND
CD8+ T	HCST
CD8+ T	CNOT6L
CD8+ T	BCL11B
CD8+ T	STK17B
CD8+ T	CLEC2B
CD8+ T	AKNA
CD8+ T	SYTL3
CD8+ T	IL2RG
CD8+ T	PMAIP1
CD8+ T	ICOS
CD8+ T	LCK
CD8+ T	GZMH
CD8+ T	PPP2R5C
CD8+ T	FNBP1
CD8+ T	ACAP1
CD8+ T	EVL
CD8+ T	LSP1
CD8+ T	CCND2
CD8+ T	PPP1R2
CD8+ T	ORAI1
CD8+ T	SH2D1A
CD8+ T	WIPF1
CD8+ T	RASGRP1
CD8+ T	TSPYL2
CD8+ T	ITGA4
CD8+ T	GGA2
CD8+ T	IFNG
CD8+ T	LCP1
CD8+ T	STK4
CD8+ T	HMGB2
CD8+ T	PTPN7
CD8+ T	CD96
CD8+ T	KPNA2
Teff	GNLY
Teff	FGFBP2
Teff	GZMB
Teff	TGFB1
Teff	PRF1
Teff	KLRD1
Teff	GZMM
Teff	FMNL1
Teff	FYN
Teff	ISG20
Teff	FLNA
Teff	S1PR4
Teff	RNF125
Teff	LYAR
Teff	KLRG1
Teff	ZEB2
Teff	SLC7A5
Teff	MYO1F
Teff	PIK3R1
CD8-MAIT	CXCR6
CD8-MAIT	NCR3
CD8-MAIT	IL4I1
CD8-MAIT	STAT4
CD8-MAIT	TTC39C
CD8-MAIT	GPR171
CD8-MAIT	MYBL1
CD8-MAIT	G3BP2
CD8-MAIT	PDE4D
CD8-MAIT	ODF2L
CD8-MAIT	GYG1
CD8-MAIT	PDCD4
Treg	BATF
Treg	TIGIT
Treg	TNFRSF18
Treg	TNFRSF4
Treg	IL32
Treg	CTLA4
Treg	CORO1B
Treg	TBC1D4
Treg	IL2RA
Treg	FOXP3
Treg	FAM129A
Treg	LAYN
Treg	UCP2
Treg	LAIR2
Treg	PIK3IP1
Treg	RTKN2
Treg	TSC22D3
Treg	CD7
Treg	ICAM3
Treg	UGP2
Treg	CTSC
Treg	BTG3
NK2	SPON2
NK2	KLRF1
NK2	CD247
NK2	CLIC3
NK2	PLAC8
NK2	PTGDS
NK2	GNG2
NK2	FCGR3A
NK2	HOPX
NK2	HSP90AA1
NK2	ITGB2
NK2	EFHD2
NK2	DOK2
NK2	S1PR5
NK2	BIN2
NK2	VPS37B
NK2	SH2D2A
NK2	IL2RB
NK2	CCL4
NK2	CDC42SE1
NK2	B3GNT7
NK2	CHST12
NK2	DNAJB6
NK2	MYOM2
NK2	C1orf21
NK2	HSH2D
NK2	SLA2
NK2	MATK
NK2	XCL2
NK2	CD53
NK2	PYHIN1
NK2	TNFRSF1B
NK2	HAVCR2
NK2	HSPA8
NK2	ARPC2
NK2	HSPE1
NK2	HSPH1
NK2	HSPA6
NK2	CACYBP
NK2	HSPD1
NK2	HSPA1A
NK2	DNAJB1
NK1	KRT86
NK1	KRT81
NK1	KLRC1
NK1	XCL1
NK1	KLRC2
NK1	TMIGD2
NK1	ZNF683
NK1	CD160
NK1	PTPN22
NK1	RPS17
NK1	IGFBP2
Tcm	TSHZ2
Tcm	LEF1
Tcm	RPS6
Tcm	RPS15A
Tcm	RPS3
Tcm	PGAP1
Tcm	RPS27
Tcm	RPLP2
Tcm	AP3M2
Tcm	RPS10
Tcm	KLF2
Tcm	SATB1
Tcm	SLC2A3
Tcm	FOXP1
TAM	APOE
TAM	C1QB
TAM	C1QA
TAM	C1QC
TAM	CCL3
TAM	HLA-DPA1
TAM	HLA-DPB1
TAM	APOC1
TAM	HLA-DRB5
TAM	HLA-DRB1
TAM	CCL4L2
TAM	IL1B
TAM	MS4A7
TAM	MS4A6A
TAM	CD14
TAM	HLA-DMA
TAM	TNF
TAM	GPR183
TAM	FTL
TAM	CST3
TAM	CXCL3
TAM	PLAUR
TAM	TYROBP
TAM	LYZ
TAM	CD68
TAM	CTSB
TAM	OLR1
TAM	NPC2
TAM	AIF1
TAM	HLA-DQA2
TAM	HLA-DMB
TAM	FCGR2A
TAM	PSAP
TAM	LGMN
TAM	CFD
TAM	C5AR1
TAM	C3
TAM	GPNMB
TAM	CTSZ
TAM	CTSS
TAM	SDS
TAM	MAFB
TAM	C1orf162
TAM	PLEK
TAM	MS4A4A
TAM	SAT1
TAM	GRN
TAM	CPVL
TAM	LIPA
TAM	TREM2
TAM	MARCKS
TAM	MSR1
TAM	TNFAIP2
TAM	FGL2
TAM	CD163
TAM	PLAU
TAM	NRP2
TAM	IER3
TAM	CCL20
TAM	VSIG4
Mono	S100A9
Mono	S100A8
Mono	S100A12
Mono	EREG
Mono	SERPINB2
Mono	THBS1
Mono	VCAN
Mono	FCN1
Mono	CSTA
Mono	PPIF
Mono	NAMPT
Mono	TIMP1
Mono	AQP9
Mono	IL1RN
Mono	ATP2B1
Mono	LST1
Mono	MNDA
Mono	NLRP3
Mono	FPR1
Mono	THBD
Mono	TREM1
Mono	CD300E
Mono	GK
Mono	CCRL2
Mono	PTX3
Mono	ACSL1
Mono	SLC11A1
Mono	CEBPB
Mono	AP1S2
Mono	MXD1
Mono	CD93
Mono	CLEC4E
Mono	TNFAIP6
Mono	KYNU
Mono	GCA
Mono	COTL1
Mono	EHD1
Mono	OSM
Mono	THAP2
Mono	LIMS1
Mono	ARL5B
Mono	CSF3R
Mono	STXBP2
Mono	CHMP1B
Mono	GMFG
Mono	CYBA
Mono	RILPL2
Mono	WTAP
Mono	H3F3A
Mono	PTPRE
Mono	CFP
Mono	ETS2
Mono	PNPLA8
Mono	APOBEC3A
Mono	NINJ1
Mono	FTH1
Mono	MPEG1
Mono	BID
Mono	NR4A3
Mono	TSPO
cDC2	CLEC10A
cDC2	IL1R2
cDC2	PKIB
cDC2	ATP1B3
cDC2	INHBA
cDC2	CD1C
cDC2	FCGR2B
cDC2	IFI30
cDC2	OGFRL1
cDC2	AXL
cDC2	STX11
Mono-CD16	LILRB2
Mono-CD16	WARS
Mono-CD16	LYN
Mono-CD16	LYPD2
Mono-CD16	HES4
Mono-CD16	LILRA5
Mono-CD16	IFITM2
Mono-CD16	PILRA
Mono-CD16	HCK
Mono-CD16	FAM49A
Mono-CD16	RNF144B
Mono-CD16	SLC43A2
Mono-CD16	NAP1L1
Mono-CD16	CMTM6
Mono-CD16	TKT
Mono-CD16	MYO1G
Mono-CD16	SLC2A6
Mono-CD16	ISG15
Mono-CD16	ARPC1B
Mono-CD16	CDKN1C
Mono-CD16	PYCARD
Mono-CD16	VASP
Mono-CD16	NAAA
Mono-CD16	CLEC12A
Mono-CD16	IRAK3
Mono-CD16	PTPN6
Mono-CD16	ARPC3
pDC	IRF4
pDC	PLD4
pDC	IL3RA
pDC	TCF4
pDC	LILRA4
pDC	SERPINF1
pDC	TSPAN13
pDC	GNA15
pDC	SCT
pDC	CHAF1A
pDC	POLB
pDC	PTCRA
pDC	LILRB4
pDC	MYBL2
pDC	NEK8
pDC	TCL1A
pDC	SMPD3
pDC	VASH2
pDC	SEMA7A
pDC	ARID3A
pDC	IRF7
pDC	CIITA
pDC	INPP4A
pDC	SEL1L3
pDC	PPP1R14B
pDC	RAB11FIP1
pDC	ITM2C
pDC	SOX4
pDC	SH2B3
pDC	SLC20A1
pDC	SEC61B
pDC	NCF1
pDC	TRAF4
pDC	ETV3
pDC	C12orf45
pDC	GRASP
pDC	NR3C1
pDC	SLC15A4
pDC	C12orf75
pDC	CCDC50
pDC	FADS1
pDC	ZC3HAV1
pDC	N4BP2L1
pDC	MALT1
pDC	ANKRD11
pDC	DUSP5
pDC	FYTTD1
pDC	SPCS1
pDC	MARCKSL1
pDC	IRF2BP2
pDC	ATF5
pDC	PMEPA1
pDC	RANBP2
pDC	UGCG
cDC3	IDO1
cDC3	LAMP3
cDC3	CCL19
cDC3	NCCRP1
cDC3	GPR157
cDC3	DAPP1
cDC3	CCL22
cDC3	LY75
cDC3	FSCN1
cDC3	EBI3
cDC3	TNFSF13B
cDC3	GPR137B
cDC3	ST8SIA4
cDC3	NUB1
cDC3	CXCL9
cDC3	VOPP1
cDC3	RAB8B
cDC3	PPA1
cDC3	CCDC88A
cDC3	TXN
cDC3	RAB9A
cDC3	RALA
cDC3	PTPN1
cDC3	GSN
cDC3	SYNGR2
cDC3	ACTB
cDC3	PSME2
cDC3	SERPINB1
cDC3	GRSF1
cDC3	LGALS2
cDC3	GABARAPL2
cDC3	CD40
cDC3	PFN1
cDC1	DNASE1L3
cDC1	C1orf54
cDC1	CLEC9A
cDC1	S100B
cDC1	WDFY4
cDC1	HLA-DOB
cDC1	VMO1
cDC1	HMGA1
cDC1	TACSTD2
cDC1	PLEKHO1
cDC1	CPNE3
cDC1	SNX3
cDC1	H2AFY
EC-cappillary	PLVAP
EC-cappillary	ESM1
EC-cappillary	FLT1
EC-cappillary	SLC9A3R2
EC-cappillary	HSPG2
EC-cappillary	VWA1
EC-cappillary	INSR
EC-cappillary	SPARC
EC-cappillary	TIMP3
EC-cappillary	RBP7
EC-cappillary	RAMP2
EC-cappillary	VWF
EC-cappillary	RAMP3
EC-cappillary	SPARCL1
EC-cappillary	ENPP2
EC-cappillary	FCN3
EC-cappillary	PECAM1
EC-cappillary	A2M
EC-cappillary	EGFL7
EC-cappillary	COL4A1
EC-cappillary	ENG
EC-cappillary	IGFBP5
EC-cappillary	SPRY1
EC-cappillary	IFI27
EC-cappillary	EMCN
EC-cappillary	APP
EC-cappillary	EPAS1
EC-cappillary	PODXL
EC-cappillary	GNG11
EC-cappillary	NOTCH4
EC-cappillary	KDR
EC-cappillary	TMEM204
EC-cappillary	FAM167B
EC-cappillary	APOLD1
EC-cappillary	EDNRB
EC-cappillary	COL4A2
EC-cappillary	HYAL2
EC-cappillary	PRSS23
EC-cappillary	ESAM
EC-cappillary	CLEC14A
EC-cappillary	LDB2
EC-cappillary	TMEM88
EC-cappillary	FN1
EC-cappillary	PDGFD
EC-cappillary	TGFBR2
EC-cappillary	BTNL9
EC-cappillary	IGFBP7
EC-cappillary	CD34
EC-cappillary	FKBP1A
EC-cappillary	GJA1
EC-cappillary	SEC14L1
EC-cappillary	VAMP5
EC-cappillary	PTPRB
EC-cappillary	HTRA1
EC-cappillary	EFNB2
EC-cappillary	ECSCR
EC-cappillary	ARHGAP29
EC-cappillary	SLCO2A1
EC-cappillary	SPTBN1
EC-cappillary	CRIP2
EC-Vein	PLAT
EC-Vein	CTGF
EC-Vein	COL8A1
EC-Vein	COL3A1
EC-Vein	IL6ST
EC-Vein	FBLN2
EC-Vein	SELE
EC-Vein	PRCP
EC-Vein	TFF3
EC-Vein	CYP1B1
EC-Vein	CPE
EC-Vein	ADAM15
EC-Vein	TGM2
EC-Vein	ARL4A
EC-Vein	PPIC
EC-Vein	DUSP23
EC-Vein	SNCG
EC-Vein	CRIM1
EC-Vein	FAM107A
EC-Vein	NUAK1
EC-Vein	ANXA2
EC-Vein	JAM2
EC-Vein	BMPR2
EC-Vein	NR2F2
EC-Vein	PROCR
EC-Vein	TGFBR3
EC-Vein	ECE1
EC-Vein	NTS
EC-Vein	SULF2
EC-Vein	MALL
EC-Vein	PTMS
EC-Vein	LMCD1
EC-Vein	RSPO3
EC-Vein	SELP
EC-Vein	S100A6
EC-Vein	GPM6A
EC-Vein	TMTC1
EC-Vein	NCOA7
EC-Vein	C2CD4B
EC-Vein	IL33
EC-Vein	GUK1
EC-Vein	FLNB
EC-Vein	THSD7A
EC-Vein	STAB1
EC-Vein	ACTN1
EC-Vein	BST2
EC-Vein	CPXM2
EC-Vein	GNAQ
EC-Vein	PMP22
EC-Vein	IL1R1
EC-Vein	PDLIM1
EC-Vein	EFEMP1
Artery	GJA5
Artery	SRP14
Artery	FBLN5
Artery	SULF1
Artery	ACE
Artery	RND1
Artery	ARL15
Artery	SEMA3G
Artery	SOX17
Artery	GMNN
Artery	SLC45A4
Artery	IFITM1
Artery	SCGB3A1
Artery	SIPA1L2
Artery	VEGFC
Artery	FAM84A
Artery	MECOM
Artery	CTNNAL1
Artery	SOCS2
Artery	F2R
Artery	RGS3
Artery	GIMAP1
Artery	GFOD1
Artery	FILIP1
Artery	PDZD2
Artery	CTTNBP2NL
Artery	KIAA0355
Artery	PLLP
Artery	ID1
Artery	ADD1
Artery	SYNPO
Artery	ID3
Artery	NTN4
Artery	MAP4
Artery	CYB5R3
Artery	MYLIP
Artery	SWAP70
Artery	CDC42BPA
Artery	IGFBP3
Artery	SCARB1
Artery	JAG1
Artery	NAA10
Artery	PTPN12
Artery	ADAMTS1
Artery	RHOB
Artery	IFI6
Artery	LTBP4
Artery	CAV1
Artery	LIMA1
Artery	LAMB2
Artery	UBE2J1
Artery	ARGLU1
Artery	UTRN
Artery	POMP
Artery	TXNIP
Artery	DDIT4
Artery	ARRDC3
SMC	TAGLN
SMC	ACTA2
SMC	MYL9
SMC	TPM2
SMC	RGS5
SMC	SOD3
SMC	REN
SMC	CALD1
SMC	MYH11
SMC	COL18A1
SMC	MFGE8
SMC	BGN
SMC	PLN
SMC	FRZB
SMC	PPP1R14A
SMC	MYLK
SMC	MAP1B
SMC	PGF
SMC	PLAC9
SMC	RGS16
SMC	DSTN
SMC	TPPP3
SMC	MCAM
SMC	CRISPLD2
SMC	CSRP1
SMC	TINAGL1
SMC	COL6A2
SMC	PTP4A3
SMC	GJA4
SMC	COL1A2
SMC	NOTCH3
SMC	ID4
SMC	PALLD
SMC	ACTG2
SMC	CSRP2
SMC	GADD45B
SMC	COL1A1
SMC	DKK3
SMC	WFDC1
SMC	SLIT3
SMC	SSTR2
SMC	PDGFRB
SMC	FILIP1L
SMC	CNN1
SMC	COX4I2
SMC	TBX2
SMC	ISYNA1
SMC	HIGD1B
SMC	ADAMTS4
SMC	RASD1
SMC	LTBP1
SMC	4-Sep
SMC	NGF
SMC	CRIP1
SMC	TGFB1I1
SMC	FOS
SMC	JUNB
SMC	PTK2
SMC	7-Sep
SMC	SDC2
peri	CD36
peri	CYGB
peri	FABP4
peri	PLXDC1
peri	KCNJ8
peri	CCDC102B
peri	MYO1B
peri	SERPING1
peri	PRKG1
peri	CAMK2N1
peri	NDRG2
peri	S1PR3
peri	GJC1
peri	PCOLCE
peri	SERPINI1
peri	NES
peri	EDNRA
peri	UBA2
peri	NRGN
peri	ANO1
peri	ARHGEF17
peri	PTEN
Fib	LUM
Fib	DCN
Fib	POSTN
Fib	ASPN
Fib	CFH
Fib	C1R
Fib	GGT5
Fib	C1S
Fib	MMP11
Fib	COL6A3
Fib	C7
Fib	CLEC11A
Fib	CCDC80
Fib	COL5A2
Fib	THBS2
Fib	EMILIN1
Fib	PRELP
Fib	COL12A1
Fib	GPC3
Fib	AEBP1
Fib	PTN
Fib	IFIT3
Fib	SERPINE1
Fib	GBP2
Fib	STAT1
Epi	CRYAB
Epi	NNMT
Epi	CD24
Epi	CLU
Epi	CYB5A
Epi	SPP1
Epi	CXCL14
Epi	TMEM176A
Epi	FABP7
Epi	KRT18
Epi	CCL2
Epi	ANGPTL4
Epi	TMEM176B
Epi	KRT8
Epi	ANXA4
Epi	PDZK1IP1
Epi	NDUFA4L2
Epi	FXYD2
Epi	RARRES2
Epi	ATP1B1
Epi	BNIP3
Epi	CYR61
Epi	GSTA1
Epi	CCND1
Epi	MGST1
Epi	SLC3A1
Epi	TNFRSF12A
Epi	EGLN3
Epi	CLDN4
Epi	ENO1
Epi	GPX3
Epi	NAT8
Epi	VEGFA
Epi	IMPA2
Epi	UGT2B7
Epi	CNDP2
Epi	CCDC146
Epi	SERPINA1
Epi	NDRG1
Epi	ALDH1A1
Epi	DEFB1
Epi	MIF
Epi	S100A1
Epi	TPI1
Epi	SLC17A3
Epi	MT1X
Epi	ELF3
Epi	SPINT2
Epi	NUPR1
Epi	PEBP1
Epi	PDZK1
Epi	TNFSF10
Epi	RRAD
Epi	BBOX1
Epi	S100A13
Epi	S100A10
Epi	CMBL
Epi	TCEA3
Epi	OCIAD2
Epi	PFKP
