"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Metabolites","Compound.ID","Super.Class","Class","Sub.Class","KEGG","level","group"
"289.06934.1",3.43609119909707e-43,1.11290544853035,0.162,0.052,1.82800051791964e-40,"289.06934","Dyphylline","HMDB0014789","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","C07819","**","neg"
"326.23379.2",5.90815446779038e-45,1.07026870073386,0.238,0.094,3.14313817686448e-42,"326.23379","(9E)-10-nitrooctadecenoic Acid;
(9E)-9-nitrooctadecenoic Acid","HMDB0062737;
HMDB0062738","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Fatty acids and conjugates",";
","*","neg"
"584.47710.3",3.28422387449684e-45,1.05124893617286,0.24,0.093,1.74720710123232e-42,"584.47710",NA,NA,NA,NA,NA,NA,NA,"neg"
"371.28069.3",5.96752192654838e-122,1.04753511887361,0.71,0.379,3.17472166492374e-119,"371.28069",NA,NA,NA,NA,NA,NA,NA,"neg"
"369.26499.2",3.84866185661634e-47,1.0388805767122,0.288,0.125,2.04748810771989e-44,"369.26499","Glycerylmonooleate;
MG(18:1(12Z)-O(9S,10R)/0:0/0:0);
MG(18:1(9Z)-O(12,13)/0:0/0:0);
MG(0:0/18:1(12Z)-O(9S,10R)/0:0);
MG(0:0/18:1(9Z)-O(12,13)/0:0)","HMDB0252857;
HMDB0260491;
HMDB0260492;
HMDB0260543;
HMDB0260544","Organic oxygen compounds;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Organooxygen compounds;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Carbohydrates and carbohydrate conjugates;
Unclassified;
Unclassified;
Unclassified;
Unclassified",";
;
;
;
","*","neg"
"366.22809.3",5.08474584463046e-46,1.01223353524796,0.296,0.131,2.7050847893434e-43,"366.22809","Tridec-8-enedioylcarnitine;
Tridec-10-enedioylcarnitine;
Tridec-11-enedioylcarnitine;
(6E)-Tridec-6-enedioylcarnitine;
(9E)-Tridec-9-enedioylcarnitine","HMDB0241319;
HMDB0241320;
HMDB0241321;
HMDB0241322;
HMDB0241323","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters;
Fatty acid esters",";
;
;
;
","*","neg"
"315.20996",5.69396427160621e-33,1.01006364827492,0.141,0.049,3.0291889924945e-30,"315.20996","C18:2","HMDB0062238","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",NA,"*","neg"
"327.21792",5.20540088864857e-31,0.999956248176157,0.137,0.049,2.76927327276104e-28,"327.21792","Corchorifatty acid F;
Auxin a;
(9R,10S,12Z)-9,10-Dihydroxy-8-oxo-12-octadecenoic acid","HMDB0035919;
HMDB0038483;
HMDB0040611","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Prenol lipids;
Fatty Acyls","Lineolic acids and derivatives;
Monoterpenoids;
Lineolic acids and derivatives",";
;
","*","neg"
"536.47622.3",1.40299359833358e-77,0.962831255785883,0.573,0.306,7.46392594313463e-75,"536.47622",NA,NA,NA,NA,NA,NA,NA,"neg"
"327.23345.2",9.73451067784406e-62,0.962821191476969,0.438,0.208,5.17875968061304e-59,"327.23345","FA(22:6);
Neogrifolin;
Grifolin","HMDB0002183;
HMDB0030053;
HMDB0030446","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Prenol lipids;
Prenol lipids","Fatty acids and conjugates;
Sesquiterpenoids;
Sesquiterpenoids","C06429;
;
","**","neg"
"583.47393.4",3.0911639432948e-135,0.958516925558685,0.84,0.487,1.64449921783283e-132,"583.47393","DG(35:4)","HMDB0007083","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols",NA,"**","neg"
"373.29629.2",1.38544363438399e-32,0.945937325651637,0.229,0.105,7.37056013492284e-30,"373.29629","Polyoxyethylene 40 monostearate;
12-hydroxyicosanoic acid;
15-hydroxyicosanoic acid","HMDB0032477;
HMDB0061664;
HMDB0061665","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls;
Fatty Acyls","Fatty acid esters;
Fatty acids and conjugates;
Fatty acids and conjugates",";
;
","*","neg"
"610.51529.2",3.39060315629796e-33,0.943440851858327,0.212,0.091,1.80380087915051e-30,"610.51529",NA,NA,NA,NA,NA,NA,NA,"neg"
"607.45806.3",4.49470055850551e-74,0.938578892468679,0.573,0.308,2.39118069712493e-71,"607.45806","DG(13:0/20:3(8Z,11Z,14Z)-2OH(5,6)/0:0);
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/13:0/0:0);
DG(13:0/0:0/20:3(8Z,11Z,14Z)-2OH(5,6));
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/0:0/13:0);
DG(a-13:0/20:3(8Z,11Z,14Z)-2OH(5,6)/0:0);
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/a-13:0/0:0);
DG(a-13:0/0:0/20:3(8Z,11Z,14Z)-2OH(5,6));
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/0:0/a-13:0);
DG(i-13:0/20:3(8Z,11Z,14Z)-2OH(5,6)/0:0);
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/i-13:0/0:0);
DG(i-13:0/0:0/20:3(8Z,11Z,14Z)-2OH(5,6));
DG(20:3(8Z,11Z,14Z)-2OH(5,6)/0:0/i-13:0)","HMDB0294905;
HMDB0294906;
HMDB0294907;
HMDB0294908;
HMDB0297355;
HMDB0297356;
HMDB0297357;
HMDB0297358;
HMDB0298601;
HMDB0298602;
HMDB0298603;
HMDB0298604","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified",";
;
;
;
;
;
;
;
;
;
;
","*","neg"
"634.51478.3",2.22214185885044e-39,0.892632811317281,0.335,0.167,1.18217946890844e-36,"634.51478",NA,NA,NA,NA,NA,NA,NA,"neg"
"449.26791.3",5.35080142934419e-34,0.87676699843906,0.29,0.147,2.84662636041111e-31,"449.26791","Celastrol","HMDB0002385","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,"**","neg"
"612.53094.3",9.79586171978167e-28,0.859970390894655,0.255,0.133,5.21139843492385e-25,"612.53094",NA,NA,NA,NA,NA,NA,NA,"neg"
"328.24906.2",1.60767578173826e-26,0.856757267475212,0.231,0.116,8.55283515884752e-24,"328.24906","4,8 Dimethylnonanoyl carnitine","HMDB0006202","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,"**","neg"
"278.22083.3",6.50800003218548e-28,0.801251731609719,0.263,0.134,3.46225601712268e-25,"278.22083",NA,NA,NA,NA,NA,NA,NA,"neg"
"329.24917.3",5.28762484948807e-79,0.799872797429797,0.712,0.414,2.81301641992765e-76,"329.24917","all-cis-7,10,13,16,19-docosapentaenoate","HMDB0304261","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,"*","neg"
"560.47757.4",4.84042806786985e-168,0.793818334729738,0.972,0.692,2.57510773210676e-165,"560.47757",NA,NA,NA,NA,NA,NA,NA,"neg"
"633.47578.2",1.26088380696498e-24,0.776915599428922,0.237,0.122,6.70790185305371e-22,"633.47578","DG(15:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0);
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/15:0/0:0);
DG(15:0/0:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R));
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0/15:0);
DG(15:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0);
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/15:0/0:0);
DG(15:0/0:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S));
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0/15:0);
DG(15:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0);
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/15:0/0:0);
DG(15:0/0:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R));
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0/15:0);
DG(a-15:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0);
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/a-15:0/0:0);
DG(a-15:0/0:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R));
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0/a-15:0);
DG(a-15:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0);
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/a-15:0/0:0);
DG(a-15:0/0:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S));
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0/a-15:0);
DG(a-15:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0);
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/a-15:0/0:0);
DG(a-15:0/0:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R));
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0/a-15:0);
DG(i-15:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0);
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/i-15:0/0:0);
DG(i-15:0/0:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R));
DG(20:4(6Z,8E,10E,14Z)-2OH(5S,12R)/0:0/i-15:0);
DG(i-15:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0);
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/i-15:0/0:0);
DG(i-15:0/0:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S));
DG(20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0/i-15:0);
DG(i-15:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0);
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/i-15:0/0:0);
DG(i-15:0/0:0/20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R));
DG(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/0:0/i-15:0)","HMDB0295263;
HMDB0295264;
HMDB0295265;
HMDB0295266;
HMDB0295335;
HMDB0295336;
HMDB0295337;
HMDB0295338;
HMDB0295339;
HMDB0295340;
HMDB0295341;
HMDB0295342;
HMDB0297551;
HMDB0297552;
HMDB0297553;
HMDB0297554;
HMDB0297623;
HMDB0297624;
HMDB0297625;
HMDB0297626;
HMDB0297627;
HMDB0297628;
HMDB0297629;
HMDB0297630;
HMDB0299005;
HMDB0299006;
HMDB0299007;
HMDB0299008;
HMDB0299077;
HMDB0299078;
HMDB0299079;
HMDB0299080;
HMDB0299081;
HMDB0299082;
HMDB0299083;
HMDB0299084","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified","Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified;
Unclassified",";
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
","*","neg"
"339.20988.1",1.11148206502143e-19,0.774956903393557,0.163,0.078,5.91308458591402e-17,"339.20988","FA(20:4);
Cis-8,11,14,17-Eicosatetraenoic acid","HMDB0001043;
HMDB0002177","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Fatty Acyls","Fatty acids and conjugates;
Fatty acids and conjugates","C00219;
","*","neg"
"301.21751",8.75867692408791e-24,0.769950114765805,0.173,0.078,4.65961612361477e-21,"301.21751","FA(20:5);
Retinyl ester;
8,15-Isopimaradien-18-oic acid;
Isopimaric acid;
8,13-Abietadien-18-oic acid","HMDB0001999;
HMDB0003598;
HMDB0035692;
HMDB0036811;
HMDB0038172","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Fatty Acyls;
Prenol lipids;
Prenol lipids;
Prenol lipids;
Prenol lipids","Fatty acids and conjugates;
Retinoids;
Diterpenoids;
Diterpenoids;
Diterpenoids","C06428;
C02075;
;
C09118;
C12077","**","neg"
"306.25239.3",1.99393665977737e-31,0.765736056848721,0.339,0.186,1.06077430300156e-28,"306.25239",NA,NA,NA,NA,NA,NA,NA,"neg"
"586.49268.4",6.86371562886716e-39,0.76365544882165,0.452,0.261,3.65149671455733e-36,"586.49268",NA,NA,NA,NA,NA,NA,NA,"neg"
"610.47850.3",5.50255702224903e-57,0.755354494795571,0.616,0.37,2.92736033583648e-54,"610.47850",NA,NA,NA,NA,NA,NA,NA,"neg"
"609.51205.2",1.87171545070508e-98,0.753016461747355,0.833,0.542,9.95752619775104e-96,"609.51205","FAHFA(18:1(9Z)/12-O-18:0)","HMDB0112105","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,"*","neg"
"538.49187.3",1.72765763308775e-64,0.719718712930138,0.72,0.445,9.19113860802685e-62,"538.49187",NA,NA,NA,NA,NA,NA,NA,"neg"
"633.51175.3",6.18858543621677e-112,0.708103066611266,0.921,0.65,3.29232745206732e-109,"633.51175","1-Palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol","HMDB0251679","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols",NA,"**","neg"
"683.51250",5.12701835670047e-20,0.698059658861099,0.152,0.068,2.72757376576465e-17,"683.51250","Trodusquemine","HMDB0259290","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives",NA,"**","neg"
"587.50461.3",6.04410540681747e-75,0.692171657023636,0.791,0.526,3.21546407642689e-72,"587.50461","DG(35:2)","HMDB0007080","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols",NA,"**","neg"
"529.27631.2",3.0484007911155e-22,0.676593202582549,0.307,0.183,1.62174922087345e-19,"529.27631","GPG(16:0);
[3-[2,3-Dihydroxypropoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate","HMDB0240601;
HMDB0242118","Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Glycerophospholipids;
Glycerophospholipids","Glycerophosphoglycerols;
Glycerophosphoglycerols",";
","*","neg"
"533.45728",1.19071245655998e-15,0.673928792827199,0.152,0.077,6.3345902688991e-13,"533.45728","DG(31:1)","HMDB0007070","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols",NA,"**","neg"
"212.13758.2",7.62231613315071e-19,0.672022061791776,0.233,0.132,4.05507218283618e-16,"212.13758",NA,NA,NA,NA,NA,NA,NA,"neg"
"297.24362.2",1.7949039812763e-12,0.669797190097378,0.143,0.079,9.54888918038992e-10,"297.24362","MG(15:0);
(+)-15,16-Dihydroxyoctadecanoic acid;
(9S,10S)-9,10-dihydroxyoctadecanoate;
MG(i-15:0/0:0/0:0)","HMDB0011532;
HMDB0031008;
HMDB0059633;
HMDB0072878","Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules;
Lipids and lipid-like molecules","Glycerolipids;
Fatty Acyls;
Fatty Acyls;
Glycerolipids","Monoradylglycerols;
Fatty acids and conjugates;
Fatty acids and conjugates;
Monoradylglycerols",";
;
C15988;
","**","neg"
