	proteomics	transcriptome	color	pathway
gobp_alkanesulfonate_metabolic_process	-1.378811414	-0.727917417	others	gobp_alkanesulfonate_metabolic_process
gobp_allantoin_metabolic_process	-0.655126674	0.797370668	others	gobp_allantoin_metabolic_process
gobp_alpha_amino_acid_catabolic_process	-0.06555042	1.315537036	others	gobp_alpha_amino_acid_catabolic_process
gobp_alpha_amino_acid_metabolic_process	-0.044242853	1.119125254	others	gobp_alpha_amino_acid_metabolic_process
gobp_alpha_beta_t_cell_activation	2.951395236	4.315565315	others	gobp_alpha_beta_t_cell_activation
gobp_alpha_beta_t_cell_differentiation	3.103648516	3.880879128	others	gobp_alpha_beta_t_cell_differentiation
gobp_alpha_beta_t_cell_proliferation	2.503930521	5.056780932	others	gobp_alpha_beta_t_cell_proliferation
gobp_alpha_ketoglutarate_transport	-1.247953772	-0.058622995	others	gobp_alpha_ketoglutarate_transport
gobp_alpha_linolenic_acid_metabolic_process	2.750276712	0.235695023	others	gobp_alpha_linolenic_acid_metabolic_process
gobp_alternative_mrna_splicing_via_spliceosome	0.21377707	0.12526261	others	gobp_alternative_mrna_splicing_via_spliceosome
gobp_ameboidal_type_cell_migration	-3.372765239	-7.594020557	others	gobp_ameboidal_type_cell_migration
gobp_amelogenesis	2.417900152	0.339792023	others	gobp_amelogenesis
gobp_amide_biosynthetic_process	3.215024593	2.330592666	others	gobp_amide_biosynthetic_process
gobp_amide_transport	2.437790448	0.369393469	others	gobp_amide_transport
gobp_amine_biosynthetic_process	-2.148762156	-0.331214181	others	gobp_amine_biosynthetic_process
gobp_amine_catabolic_process	0.569243661	1.850602842	others	gobp_amine_catabolic_process
gobp_amine_metabolic_process	0.63728336	0.004182936	others	gobp_amine_metabolic_process
gobp_amine_transport	0.702512324	-3.82838613	others	gobp_amine_transport
gobp_amino_acid_activation	1.970218202	3.17015907	others	gobp_amino_acid_activation
gobp_amino_acid_betaine_biosynthetic_process	-0.512275831	0.959022363	others	gobp_amino_acid_betaine_biosynthetic_process
gobp_amino_acid_betaine_metabolic_process	-0.20152949	0.151352996	others	gobp_amino_acid_betaine_metabolic_process
gobp_amino_acid_betaine_transport	1.047958319	1.212193197	others	gobp_amino_acid_betaine_transport
gobp_amino_acid_homeostasis	0.056934785	1.382725157	others	gobp_amino_acid_homeostasis
gobp_amino_acid_import	1.988912945	-0.402724563	others	gobp_amino_acid_import
gobp_amino_acid_import_across_plasma_membrane	2.368660723	0.167234325	others	gobp_amino_acid_import_across_plasma_membrane
gobp_amino_acid_neurotransmitter_reuptake	-0.109246206	-2.856558171	others	gobp_amino_acid_neurotransmitter_reuptake
gobp_amino_acid_salvage	-1.802518806	0.615439394	others	gobp_amino_acid_salvage
gobp_amino_acid_transmembrane_transport	0.943847751	0.136058742	others	gobp_amino_acid_transmembrane_transport
gobp_amino_acid_transport	0.416295229	-1.885212142	others	gobp_amino_acid_transport
gobp_amino_sugar_biosynthetic_process	1.932811874	0.360467248	others	gobp_amino_sugar_biosynthetic_process
gobp_amino_sugar_catabolic_process	1.604171091	4.84475539	others	gobp_amino_sugar_catabolic_process
gobp_amino_sugar_metabolic_process	2.703831102	0.409069063	others	gobp_amino_sugar_metabolic_process
gobp_aminoacyl_trna_metabolism_involved_in_translational_fidelity	1.665126078	3.137674047	others	gobp_aminoacyl_trna_metabolism_involved_in_translational_fidelity
gobp_aminoglycan_biosynthetic_process	1.446030971	-4.346839797	others	gobp_aminoglycan_biosynthetic_process
gobp_aminoglycan_catabolic_process	-0.285415805	0.313789584	others	gobp_aminoglycan_catabolic_process
gobp_aminoglycan_metabolic_process	0.224503139	-3.65021891	others	gobp_aminoglycan_metabolic_process
gobp_aminoglycoside_antibiotic_metabolic_process	1.212866079	2.210426975	others	gobp_aminoglycoside_antibiotic_metabolic_process
gobp_aminophospholipid_translocation	-0.221347472	-4.259157466	others	gobp_aminophospholipid_translocation
gobp_aminophospholipid_transport	0.746391717	-3.68427012	others	gobp_aminophospholipid_transport
gobp_ammonium_ion_metabolic_process	-0.481140208	-0.589562182	others	gobp_ammonium_ion_metabolic_process
gobp_ammonium_transmembrane_transport	-3.905599461	-5.73640629	others	gobp_ammonium_transmembrane_transport
gobp_amp_biosynthetic_process	-1.363892795	1.907029987	others	gobp_amp_biosynthetic_process
gobp_amp_catabolic_process	-0.726700091	0.804483149	others	gobp_amp_catabolic_process
gobp_amp_metabolic_process	-2.500660701	2.68185748	others	gobp_amp_metabolic_process
gobp_amp_salvage	-0.311048019	1.038391568	others	gobp_amp_salvage
gobp_ampa_glutamate_receptor_clustering	-1.7607484	-0.721937949	others	gobp_ampa_glutamate_receptor_clustering
gobp_amygdala_development	-0.460100827	-1.200907756	others	gobp_amygdala_development
gobp_amyloid_beta_clearance	-0.724876348	-0.043512927	others	gobp_amyloid_beta_clearance
gobp_amyloid_beta_clearance_by_cellular_catabolic_process	-2.18778465	-2.279750393	others	gobp_amyloid_beta_clearance_by_cellular_catabolic_process
gobp_amyloid_beta_clearance_by_transcytosis	0.149041267	-1.844517606	others	gobp_amyloid_beta_clearance_by_transcytosis
gobp_amyloid_beta_formation	-0.835236507	-1.082595146	others	gobp_amyloid_beta_formation
gobp_amyloid_beta_metabolic_process	-0.859574374	-0.974315082	others	gobp_amyloid_beta_metabolic_process
gobp_amyloid_fibril_formation	0.553154857	-1.946523887	others	gobp_amyloid_fibril_formation
gobp_amyloid_precursor_protein_biosynthetic_process	0.307867195	0.665390893	others	gobp_amyloid_precursor_protein_biosynthetic_process
gobp_amyloid_precursor_protein_catabolic_process	-0.117865123	-1.074469638	others	gobp_amyloid_precursor_protein_catabolic_process
gobp_amyloid_precursor_protein_metabolic_process	-0.261149243	-1.074778646	others	gobp_amyloid_precursor_protein_metabolic_process
gobp_anagen	-1.183359438	-0.847184745	others	gobp_anagen
gobp_anaphase_promoting_complex_dependent_catabolic_process	1.393368391	3.109634685	others	gobp_anaphase_promoting_complex_dependent_catabolic_process
gobp_anatomical_structure_arrangement	3.13493926	-3.58752616	others	gobp_anatomical_structure_arrangement
gobp_anatomical_structure_formation_involved_in_morphogenesis	-3.72284024	-6.484022303	others	gobp_anatomical_structure_formation_involved_in_morphogenesis
gobp_anatomical_structure_homeostasis	-1.201732339	-1.790249489	others	gobp_anatomical_structure_homeostasis
gobp_anatomical_structure_maturation	-1.432060568	-4.820682348	others	gobp_anatomical_structure_maturation
gobp_anatomical_structure_regression	-5.078712023	-6.004318082	others	gobp_anatomical_structure_regression
gobp_androgen_biosynthetic_process	-2.289662717	3.056224444	others	gobp_androgen_biosynthetic_process
gobp_androgen_catabolic_process	4.401231558	4.307964053	others	gobp_androgen_catabolic_process
gobp_androgen_metabolic_process	1.813707525	2.844778838	others	gobp_androgen_metabolic_process
gobp_androgen_receptor_signaling_pathway	0.148612962	-4.949510134	others	gobp_androgen_receptor_signaling_pathway
gobp_angiogenesis_involved_in_coronary_vascular_morphogenesis	-3.21401059	-2.335630267	others	gobp_angiogenesis_involved_in_coronary_vascular_morphogenesis
gobp_angiogenesis_involved_in_wound_healing	-2.287486618	-3.457173634	others	gobp_angiogenesis_involved_in_wound_healing
gobp_angiotensin_activated_signaling_pathway	-0.134397633	-3.961445777	others	gobp_angiotensin_activated_signaling_pathway
gobp_animal_organ_formation	-0.126255396	-6.56499433	others	gobp_animal_organ_formation
gobp_animal_organ_maturation	0.241732912	-3.580898547	others	gobp_animal_organ_maturation
gobp_animal_organ_morphogenesis	-4.287046767	-8.472096878	others	gobp_animal_organ_morphogenesis
gobp_animal_organ_regeneration	-0.204533773	-0.751938961	others	gobp_animal_organ_regeneration
gobp_anion_homeostasis	-2.057312122	-0.314338315	others	gobp_anion_homeostasis
gobp_anion_transmembrane_transport	-0.42747466	0.034299052	others	gobp_anion_transmembrane_transport
gobp_anion_transport	-0.608283599	-0.888817675	others	gobp_anion_transport
gobp_anoikis	-1.974375845	-4.285424241	others	gobp_anoikis
gobp_anterior_commissure_morphogenesis	-3.30651349	-0.183046935	others	gobp_anterior_commissure_morphogenesis
gobp_anterior_head_development	-1.57752239	-1.765303777	others	gobp_anterior_head_development
gobp_anterior_posterior_axis_specification	-3.935714458	-7.417439614	others	gobp_anterior_posterior_axis_specification
gobp_anterior_posterior_pattern_specification	-3.468547346	-8.603233744	others	gobp_anterior_posterior_pattern_specification
gobp_anterograde_axonal_transport	0.254242179	-1.148571084	others	gobp_anterograde_axonal_transport
gobp_anterograde_dendritic_transport	0.03407857	-2.057727259	others	gobp_anterograde_dendritic_transport
gobp_anterograde_dendritic_transport_of_neurotransmitter_receptor_complex	1.512775669	-2.354638064	others	gobp_anterograde_dendritic_transport_of_neurotransmitter_receptor_complex
gobp_anterograde_neuronal_dense_core_vesicle_transport	-2.547291429	-4.621191943	others	gobp_anterograde_neuronal_dense_core_vesicle_transport
gobp_antibacterial_humoral_response	0.5652223	3.007108087	others	gobp_antibacterial_humoral_response
gobp_antibacterial_peptide_production	0.932804613	0.453293968	others	gobp_antibacterial_peptide_production
gobp_antibody_dependent_cellular_cytotoxicity	2.276936797	6.122273675	others	gobp_antibody_dependent_cellular_cytotoxicity
gobp_antifungal_humoral_response	0.648312902	0.524438103	others	gobp_antifungal_humoral_response
gobp_antifungal_innate_immune_response	0.508060501	3.796148458	others	gobp_antifungal_innate_immune_response
gobp_antigen_processing_and_presentation	3.943181372	5.362246796	others	gobp_antigen_processing_and_presentation
gobp_antigen_processing_and_presentation_of_endogenous_antigen	3.02379658	3.783946915	others	gobp_antigen_processing_and_presentation_of_endogenous_antigen
